,date,county,state,pop2019,weekOyear,cases,dailyCaseGrowth,deaths,dailyDeathGrowth,fips,COUNTYFP,case%,caseGrowth%,death%,deathGrowth%,caseper100K,deathper100K,ruralUrban,variable,value
10,2020-12-25,Wood,Wisconsin,72999,52,5800,14.0,49.0,0.0,,,0.07945314319374237,0.002413793103448276,0.0006712420718092029,0.0,7945.314319374237,67.12420718092028,urban,NEVER,0.131
11,2020-12-25,Outagamie,Wisconsin,187885,52,17089,55.0,157.0,0.0,,,0.0909545732762062,0.0032184446134940607,0.000835617532000958,0.0,9095.45732762062,83.56175320009581,urban,NEVER,0.085
12,2020-12-25,Kenosha,Wisconsin,169561,52,13404,56.0,220.0,1.0,,,0.0790511969143848,0.0041778573560131305,0.0012974681677980196,0.004545454545454545,7905.119691438479,129.74681677980195,urban,NEVER,0.077
13,2020-12-25,La Crosse,Wisconsin,118016,52,10260,40.0,54.0,0.0,,,0.08693736442516269,0.003898635477582846,0.0004575650759219089,0.0,8693.736442516269,45.75650759219089,urban,NEVER,0.064
14,2020-12-25,Brown,Wisconsin,264542,52,27003,6.0,171.0,0.0,,,0.10207452880827997,0.00022219753360737697,0.0006464001935420462,0.0,10207.452880827997,64.64001935420463,urban,NEVER,0.069
15,2020-12-25,Ozaukee,Wisconsin,89221,52,6826,0.0,53.0,0.0,,,0.0765066520213851,0.0,0.0005940305533450645,0.0,7650.66520213851,59.40305533450645,urban,NEVER,0.076
16,2020-12-25,Sauk,Wisconsin,64442,52,4567,39.0,31.0,0.0,,,0.07086992954905186,0.008539522662579374,0.00048105272958629463,0.0,7086.992954905186,48.10527295862946,urban,NEVER,0.063
17,2020-12-25,Eau Claire,Wisconsin,104646,52,9209,26.0,84.0,1.0,,,0.0880014525161019,0.002823325008144207,0.0008027062668424976,0.011904761904761904,8800.14525161019,80.27062668424976,urban,NEVER,0.042
18,2020-12-25,Walworth,Wisconsin,103868,52,9142,0.0,92.0,0.0,,,0.0880155582084954,0.0,0.0008857395925597874,0.0,8801.55582084954,88.57395925597875,urban,NEVER,0.11599999999999999
19,2020-12-25,Calumet,Wisconsin,50089,52,4909,12.0,35.0,0.0,,,0.098005550120785,0.002444489712772459,0.0006987562139391882,0.0,9800.555012078501,69.87562139391882,urban,NEVER,0.064
20,2020-12-25,Columbia,Wisconsin,57532,52,4390,37.0,33.0,1.0,,,0.07630536049502885,0.008428246013667425,0.0005735938260446361,0.030303030303030304,7630.536049502885,57.359382604463605,urban,NEVER,0.035
21,2020-12-25,Bayfield,Wisconsin,15036,52,928,5.0,18.0,0.0,,,0.06171854216546954,0.005387931034482759,0.0011971268954509178,0.0,6171.854216546954,119.71268954509178,rural,NEVER,0.067
22,2020-12-25,Jefferson,Wisconsin,84769,52,7021,49.0,60.0,0.0,,,0.08282508936049734,0.006979062811565304,0.0007078059196168411,0.0,8282.508936049735,70.78059196168411,urban,NEVER,0.114
23,2020-12-25,Marathon,Wisconsin,135692,52,12696,64.0,173.0,0.0,,,0.0935648380155057,0.005040957781978576,0.0012749462016920672,0.0,9356.48380155057,127.49462016920673,urban,NEVER,0.12300000000000001
24,2020-12-25,Rock,Wisconsin,163354,52,12492,71.0,119.0,0.0,,,0.07647195660957185,0.0056836375280179315,0.0007284792536454572,0.0,7647.195660957184,72.84792536454572,urban,NEVER,0.023
25,2020-12-25,St. Croix,Wisconsin,199070,52,6294,1.0,28.0,0.0,,,0.03161701913899633,0.00015888147442008263,0.00014065404129200783,0.0,3161.701913899633,14.065404129200783,urban,NEVER,0.10099999999999999
26,2020-12-25,Green,Wisconsin,36960,52,2296,28.0,10.0,0.0,,,0.06212121212121212,0.012195121951219513,0.00027056277056277056,0.0,6212.121212121212,27.056277056277057,rural,NEVER,0.092
27,2020-12-25,Dunn,Wisconsin,45368,52,3637,0.0,22.0,0.0,,,0.08016663727737612,0.0,0.000484923293951684,0.0,8016.663727737612,48.492329395168404,rural,NEVER,0.062
28,2020-12-25,Chippewa,Wisconsin,64658,52,5827,1.0,67.0,0.0,,,0.09012032540443565,0.00017161489617298782,0.0010362213492529928,0.0,9012.032540443566,103.62213492529928,urban,NEVER,0.059000000000000004
29,2020-12-25,Douglas,Wisconsin,43150,52,3371,31.0,29.0,0.0,,,0.07812282734646582,0.009196084247997626,0.0006720741599073001,0.0,7812.282734646582,67.20741599073001,rural,NEVER,0.044000000000000004
30,2020-12-25,Dodge,Wisconsin,87839,52,10831,71.0,127.0,0.0,,,0.1233051378089459,0.006555258055581202,0.001445827024442446,0.0,12330.513780894591,144.5827024442446,urban,NEVER,0.11
